City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.9,22,10,5.57,clear sky
79,Sao Filipe,CV,14.8961,-24.4956,79.16,83,34,7.63,scattered clouds
80,Udachnyy,RU,66.4167,112.4,48.94,90,20,3.29,few clouds
81,Dikson,RU,73.5069,80.5464,45.07,83,0,5.79,clear sky
82,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,21.85,few clouds
83,Pangnirtung,CA,66.1451,-65.7125,46.4,81,90,14.97,overcast clouds
84,Victoria,HK,22.2855,114.1577,85.32,90,100,9.98,moderate rain
85,Camopi,GF,3.1655,-52.3158,82.44,70,94,1.28,overcast clouds
86,Zyryanka,RU,65.75,150.85,57.29,69,12,7.54,few clouds
87,Cabo San Lucas,MX,22.8909,-109.9124,98.51,67,100,4.0,overcast clouds
88,Port Alfred,ZA,-33.5906,26.891,61.84,84,100,17.83,overcast clouds
89,Beringovskiy,RU,63.05,179.3167,43.56,88,100,20.15,light rain
90,Emerald,AU,-23.5333,148.1667,48.34,53,0,5.75,clear sky
91,Zhezkazgan,KZ,47.8043,67.7144,70.57,34,0,17.76,clear sky
92,Egvekinot,RU,66.3167,-179.1667,43.79,58,68,12.37,broken clouds
93,Nishihara,JP,26.1842,127.7558,80.65,97,75,9.22,mist
94,Caceres,ES,39.522,-6.3748,76.19,21,0,5.46,clear sky
95,Ponta Do Sol,PT,32.6667,-17.1,73.0,77,36,3.53,scattered clouds
96,Georgetown,MY,5.4112,100.3354,81.9,84,40,0.0,scattered clouds
97,Lebu,CL,-37.6167,-73.65,49.51,67,9,8.34,clear sky
98,Hailar,CN,49.2,119.7,62.42,92,100,7.56,overcast clouds
99,Dwarka,IN,22.2394,68.9678,81.34,75,92,11.7,overcast clouds
100,Gat,IL,31.61,34.7642,81.81,75,0,3.4,clear sky
101,Cayenne,GF,4.9333,-52.3333,86.09,79,0,5.99,clear sky
102,Christchurch,NZ,-43.5333,172.6333,37.99,79,75,5.01,broken clouds
103,Ixtapa,MX,20.7,-105.2,88.23,69,37,4.0,scattered clouds
104,Cidreira,BR,-30.1811,-50.2056,63.39,83,2,8.63,clear sky
105,Marystown,CA,47.1666,-55.1483,67.37,84,99,11.14,overcast clouds
106,Isangel,VU,-19.55,169.2667,68.11,88,75,4.61,broken clouds
107,Hualmay,PE,-11.0964,-77.6139,66.04,74,31,13.35,scattered clouds
108,Nome,US,64.5011,-165.4064,55.47,72,90,21.85,overcast clouds
109,Tondela,PT,40.5167,-8.0833,67.59,71,1,4.97,clear sky
110,Vila Velha,BR,-20.3297,-40.2925,73.35,73,40,6.91,scattered clouds
111,Thompson,CA,55.7435,-97.8558,64.56,94,90,5.75,mist
112,Rio Grande,BR,-32.035,-52.0986,84.31,77,85,7.83,overcast clouds
113,Saint-Augustin,CA,51.226,-58.6502,67.98,40,7,2.44,clear sky
114,Asau,RO,46.4333,26.4,65.32,68,1,3.33,clear sky
115,Ostrovnoy,RU,68.0531,39.5131,50.7,73,0,9.98,clear sky
116,Mahebourg,MU,-20.4081,57.7,69.26,100,75,3.44,light rain
117,Codrington,AU,-38.2667,141.9667,45.03,75,100,9.89,overcast clouds
118,Khatanga,RU,71.9667,102.5,53.78,64,100,12.68,overcast clouds
119,Nouadhibou,MR,20.931,-17.0347,71.58,83,5,17.27,clear sky
120,Tautira,PF,-17.7333,-149.15,82.42,75,32,9.28,scattered clouds
121,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,83,53,10.38,broken clouds
122,Buraydah,SA,26.326,43.975,99.05,12,100,9.13,overcast clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,20,23.02,few clouds
124,Oriximina,BR,-1.7656,-55.8661,91.24,42,76,5.46,broken clouds
125,Trelew,AR,-43.249,-65.3051,53.8,25,0,5.93,clear sky
126,Ulladulla,AU,-35.35,150.4667,43.7,67,98,4.18,overcast clouds
127,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,60,20,20.71,few clouds
128,East London,ZA,-33.0153,27.9116,69.01,39,54,17.67,broken clouds
129,Capao Da Canoa,BR,-29.7456,-50.0097,63.43,83,0,6.49,clear sky
130,Beya,RU,53.0533,90.9139,58.62,89,91,3.4,overcast clouds
131,Hamilton,US,39.1834,-84.5333,92.64,55,3,1.01,clear sky
132,Alexandria,EG,31.2156,29.9553,82.36,74,0,9.22,clear sky
133,Chopovychi,UA,50.8332,28.9533,67.24,68,42,3.67,scattered clouds
134,Sikasso,ML,10.9167,-7.0,73.06,96,90,4.63,heavy intensity rain
135,Kassala,SD,15.451,36.4,82.87,68,100,9.33,overcast clouds
136,Amalapuram,IN,16.5833,82.0167,82.56,82,98,2.17,overcast clouds
137,Fortuna,US,40.5982,-124.1573,85.42,86,90,9.22,overcast clouds
138,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,87.46,19,32,3.65,scattered clouds
139,Necochea,AR,-38.5473,-58.7368,52.03,56,100,6.87,overcast clouds
140,Norman Wells,CA,65.282,-126.8329,53.64,66,90,11.5,overcast clouds
141,Nara,JP,34.6851,135.8049,81.68,92,100,4.68,overcast clouds
142,Avera,US,33.194,-82.5271,93.9,40,76,2.91,broken clouds
143,Bluff,NZ,-46.6,168.3333,36.81,63,89,10.65,overcast clouds
144,Bantry,IE,51.6833,-9.45,60.28,89,62,6.22,broken clouds
145,Zhuanghe,CN,39.7008,122.9911,72.64,84,51,4.09,broken clouds
146,Murgab,TM,37.4966,61.9714,84.07,37,0,6.91,clear sky
147,Tuatapere,NZ,-46.1333,167.6833,36.82,84,100,5.64,overcast clouds
148,Kapaa,US,22.0752,-159.319,84.18,71,76,1.01,light rain
149,Bubaque,GW,11.2833,-15.8333,80.53,74,100,12.41,overcast clouds
150,Morgan City,US,29.6994,-91.2068,93.99,70,40,8.05,scattered clouds
151,Geraldton,AU,-28.7667,114.6,64.81,72,75,13.8,broken clouds
152,Moron,AR,-34.6534,-58.6198,48.99,89,100,11.99,light rain
153,Tiksi,RU,71.6872,128.8694,47.26,81,61,3.38,broken clouds
154,Kasongo,CD,-4.45,26.6667,79.05,41,64,1.45,broken clouds
155,Bambous Virieux,MU,-20.3428,57.7575,69.22,100,75,3.44,light rain
156,Port Maria,JM,18.3685,-76.8895,89.56,78,11,11.83,few clouds
157,Cherskiy,RU,68.75,161.3,54.63,42,19,1.12,few clouds
158,Qui Nhon,VN,13.7667,109.2333,82.04,79,100,4.7,overcast clouds
159,Port-Gentil,GA,-0.7193,8.7815,76.96,83,40,6.91,scattered clouds
160,Korla,CN,41.7597,86.1469,79.88,33,99,7.96,overcast clouds
161,Hay River,CA,60.8156,-115.7999,49.96,87,75,10.36,light rain
162,Kemijarvi,FI,66.7131,27.4306,56.44,80,100,10.85,overcast clouds
163,Carnarvon,AU,-24.8667,113.6333,59.07,81,8,4.61,clear sky
164,Malakal,SS,9.5334,31.6605,72.77,91,100,0.22,overcast clouds
165,Sobolevo,RU,54.4299,31.8996,61.38,77,98,3.71,overcast clouds
166,Port Lincoln,AU,-34.7333,135.8667,54.16,56,48,13.91,scattered clouds
167,Vao,NC,-22.6667,167.4833,67.87,56,59,18.84,broken clouds
168,Cervo,ES,43.6702,-7.4101,62.96,76,99,1.97,overcast clouds
169,Cururupu,BR,-1.8283,-44.8683,82.62,65,39,5.21,scattered clouds
170,Avarua,CK,-21.2078,-159.775,75.25,69,44,5.75,scattered clouds
171,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,20,7.25,light rain
172,Xianshuigu,CN,38.985,117.3828,77.0,73,0,11.18,clear sky
173,San Andres,CO,12.5847,-81.7006,87.82,66,75,17.27,broken clouds
174,Guerrero Negro,MX,27.9769,-114.0611,79.25,59,5,13.22,clear sky
175,Boteni,RO,45.1833,25.1167,73.92,55,0,5.93,clear sky
176,Galle,LK,6.0367,80.217,77.88,87,89,10.98,overcast clouds
177,Daboh,IN,26.0025,78.8761,82.76,87,100,2.08,overcast clouds
178,Byron Bay,AU,-28.65,153.6167,58.89,64,100,7.83,overcast clouds
179,Carnduff,CA,49.1667,-101.8009,91.38,19,0,19.1,clear sky
180,Lorengau,PG,-2.0226,147.2712,80.13,79,84,7.63,broken clouds
181,Matamoros,MX,25.5333,-103.25,89.11,34,2,7.31,clear sky
182,Hami,CN,42.8,93.45,82.67,15,100,8.08,overcast clouds
183,Nuevo Progreso,MX,23.1667,-97.95,92.59,53,12,7.0,few clouds
184,Kaniama,CD,-7.5667,24.1833,75.25,26,71,2.13,broken clouds
185,Kodiak,US,57.79,-152.4072,56.71,88,75,4.61,light rain
186,Qingdao,CN,36.0986,120.3719,74.8,88,20,4.47,few clouds
187,Foumbot,CM,5.5079,10.6356,65.25,96,100,3.18,light rain
188,Bengkulu,ID,-3.8004,102.2655,75.83,91,30,5.17,scattered clouds
189,Palmer,US,42.1584,-72.3287,86.4,52,98,1.01,overcast clouds
190,Adrar,MR,20.5022,-10.0711,93.51,14,10,11.45,clear sky
191,Namatanai,PG,-3.6667,152.4333,77.68,82,80,6.44,broken clouds
192,Glendive,US,47.1053,-104.7125,100.53,23,6,11.01,clear sky
193,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,96,75,9.22,broken clouds
194,Mushie,CD,-3.0167,16.9,84.18,36,99,2.39,overcast clouds
195,Mantua,IT,45.1667,10.7833,81.64,60,8,1.99,clear sky
196,Stephenville,US,32.2207,-98.2023,96.93,38,1,14.97,clear sky
197,Barra,BR,-11.0894,-43.1417,84.74,32,1,5.91,clear sky
198,Pithapuram,IN,17.1167,82.2667,81.5,80,92,3.38,overcast clouds
