City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
67,Coquimbo,CL,58.73,scattered clouds,-29.9533,-71.3436,Punto de encuentro
68,Saint-Pierre,RE,67.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
69,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
70,Port Shepstone,ZA,68.29,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
71,Nagato,JP,78.71,light rain,34.3833,131.2,いそう庵
72,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
73,Seoul,KR,76.44,clear sky,37.5683,126.9778,롯데호텔 서울
74,Souillac,MU,69.37,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
75,Ilulissat,GL,37.4,overcast clouds,69.2167,-51.1,Hotel Arctic
76,Vzmorye,RU,62.69,clear sky,54.6961,20.2361,Sportivnaya Hotel
77,Ahipara,NZ,49.24,light rain,-35.1667,173.1667,Ahipara Holiday Park
78,Sao Felix Do Xingu,BR,95.9,clear sky,-6.6447,-51.995,Rio Xingu Camping
79,Sao Filipe,CV,79.16,scattered clouds,14.8961,-24.4956,Hotel Xaguate
80,Udachnyy,RU,48.94,few clouds,66.4167,112.4,Severnoye Siyaniye
82,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
83,Pangnirtung,CA,46.4,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
84,Victoria,HK,85.32,moderate rain,22.2855,114.1577,Mini Hotel Central
87,Cabo San Lucas,MX,98.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
88,Port Alfred,ZA,61.84,overcast clouds,-33.5906,26.891,The Halyards Hotel
89,Beringovskiy,RU,43.56,light rain,63.05,179.3167,Beringgorski
90,Emerald,AU,48.34,clear sky,-23.5333,148.1667,The Irish Village
91,Zhezkazgan,KZ,70.57,clear sky,47.8043,67.7144,Hotel Zumrat
93,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
94,Caceres,ES,76.19,clear sky,39.522,-6.3748,Ahc Hoteles
95,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
96,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
97,Lebu,CL,49.51,clear sky,-37.6167,-73.65,Hostal Las Lilas
98,Hailar,CN,62.42,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
99,Dwarka,IN,81.34,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
100,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
101,Cayenne,GF,86.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
102,Christchurch,NZ,37.99,broken clouds,-43.5333,172.6333,The George
103,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
104,Cidreira,BR,63.39,clear sky,-30.1811,-50.2056,Hotel Castelo
105,Marystown,CA,67.37,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
106,Isangel,VU,68.11,broken clouds,-19.55,169.2667,Tanna Lodge
107,Hualmay,PE,66.04,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
108,Nome,US,55.47,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
109,Tondela,PT,67.59,clear sky,40.5167,-8.0833,Hotel SJ
110,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
111,Thompson,CA,64.56,mist,55.7435,-97.8558,Burntwood Hotel
112,Rio Grande,BR,84.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
114,Asau,RO,65.32,clear sky,46.4333,26.4,Casa Mika Ciobanus
116,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
117,Codrington,AU,45.03,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
118,Khatanga,RU,53.78,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
119,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
120,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
121,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
122,Buraydah,SA,99.05,overcast clouds,26.326,43.975,فندق راحة السلام
123,Arraial Do Cabo,BR,73.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
124,Oriximina,BR,91.24,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
125,Trelew,AR,53.8,clear sky,-43.249,-65.3051,Hotel Touring Club
126,Ulladulla,AU,43.7,overcast clouds,-35.35,150.4667,Sandpiper Motel
127,Puerto Del Rosario,ES,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
128,East London,ZA,69.01,broken clouds,-33.0153,27.9116,Tu Casa
129,Capao Da Canoa,BR,63.43,clear sky,-29.7456,-50.0097,Hotel Araçá
131,Hamilton,US,92.64,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
132,Alexandria,EG,82.36,clear sky,31.2156,29.9553,Royal Crown Hotel
135,Kassala,SD,82.87,overcast clouds,15.451,36.4,Amassi Hotel Gash
136,Amalapuram,IN,82.56,overcast clouds,16.5833,82.0167,swayamprabha service apartments
137,Fortuna,US,85.42,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
138,Chapada Dos Guimaraes,BR,87.46,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
139,Necochea,AR,52.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
140,Norman Wells,CA,53.64,overcast clouds,65.282,-126.8329,Heritage Hotel
141,Nara,JP,81.68,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
143,Bluff,NZ,36.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
144,Bantry,IE,60.28,broken clouds,51.6833,-9.45,The Maritime Hotel
145,Zhuanghe,CN,72.64,broken clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
147,Tuatapere,NZ,36.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
148,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
149,Bubaque,GW,80.53,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
150,Morgan City,US,93.99,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
151,Geraldton,AU,64.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
152,Moron,AR,48.99,light rain,-34.6534,-58.6198,Hotel Morón
153,Tiksi,RU,47.26,broken clouds,71.6872,128.8694,Arktika
154,Kasongo,CD,79.05,broken clouds,-4.45,26.6667,Guest Hôtel
155,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
156,Port Maria,JM,89.56,few clouds,18.3685,-76.8895,Galina Breeze Hotel
157,Cherskiy,RU,54.63,few clouds,68.75,161.3,Gostinitsa
158,Qui Nhon,VN,82.04,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
159,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
160,Korla,CN,79.88,overcast clouds,41.7597,86.1469,Gulisitan Hotel
161,Hay River,CA,49.96,light rain,60.8156,-115.7999,Ptarmigan Inn
162,Kemijarvi,FI,56.44,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
163,Carnarvon,AU,59.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
164,Malakal,SS,72.77,overcast clouds,9.5334,31.6605,Nile Palace Hotel
166,Port Lincoln,AU,54.16,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
167,Vao,NC,67.87,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Cervo,ES,62.96,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
169,Cururupu,BR,82.62,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
170,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
171,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
172,Xianshuigu,CN,77.0,clear sky,38.985,117.3828,Guangchuan Hotel
173,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
174,Guerrero Negro,MX,79.25,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
175,Boteni,RO,73.92,clear sky,45.1833,25.1167,Vârtop
176,Galle,LK,77.88,overcast clouds,6.0367,80.217,Amangalla
177,Daboh,IN,82.76,overcast clouds,26.0025,78.8761,Purani Haat
178,Byron Bay,AU,58.89,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
179,Carnduff,CA,91.38,clear sky,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
180,Lorengau,PG,80.13,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
181,Matamoros,MX,89.11,clear sky,25.5333,-103.25,Quinta Belem
182,Hami,CN,82.67,overcast clouds,42.8,93.45,Laoyutang Resort
183,Nuevo Progreso,MX,92.59,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
185,Kodiak,US,56.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
186,Qingdao,CN,74.8,few clouds,36.0986,120.3719,东晖国际大酒店餐厅
187,Foumbot,CM,65.25,light rain,5.5079,10.6356,HÔTEL ROYAL
188,Bengkulu,ID,75.83,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
189,Palmer,US,86.4,overcast clouds,42.1584,-72.3287,Wedgewood Motel
191,Namatanai,PG,77.68,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
193,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
195,Mantua,IT,81.64,clear sky,45.1667,10.7833,Hotel la Favorita
196,Stephenville,US,96.93,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
197,Barra,BR,84.74,clear sky,-11.0894,-43.1417,Motel Albatroz
198,Pithapuram,IN,81.5,overcast clouds,17.1167,82.2667,Dhanamjay
199,Shellbrook,CA,65.43,broken clouds,53.2168,-106.4011,Shellbrook Hotel
200,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
201,Poum,NC,68.54,overcast clouds,-20.2333,164.0167,Gîte kajeon
202,San Patricio,US,95.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
203,Alice Springs,AU,36.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
204,Oga,IT,53.96,few clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
205,Luanshya,ZM,61.86,clear sky,-13.1367,28.4166,CHOLWA GUEST HOUSE
206,Mamallapuram,IN,86.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
207,Laguna,US,99.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
208,Talnakh,RU,57.27,clear sky,69.4865,88.3972,Talnakh Hotel
209,Mairipora,BR,77.68,clear sky,-23.3186,-46.5867,Hotel Refúgio Vista Serrana
210,Nuuk,GL,42.42,broken clouds,64.1835,-51.7216,Vandrehuset
211,Torbay,CA,62.49,light rain,47.6666,-52.7314,Gallows Cove
212,Saldanha,ZA,57.25,moderate rain,-33.0117,17.9442,Blue Bay Lodge
213,Ancud,CL,53.42,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
215,Tasiilaq,GL,41.63,light rain,65.6145,-37.6368,The Red House
216,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
217,Airai,TL,54.0,scattered clouds,-8.9266,125.4092,Juvinal Martin
218,Aklavik,CA,53.6,scattered clouds,68.2191,-135.0107,Aklavik Inn
219,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
220,Te Anau,NZ,30.49,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
221,Abu Kamal,SY,91.94,clear sky,34.4506,40.9171,محطة التلفاز
222,Nanticoke,US,90.41,clear sky,41.2054,-76.0049,Keisha's
223,Sept-Iles,CA,66.72,scattered clouds,50.2001,-66.3821,Comfort Inn
225,Nanortalik,GL,44.2,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
226,Kolobrzeg,PL,63.36,overcast clouds,54.1757,15.5834,Doris SPA
227,Pemberton,CA,69.49,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
228,Khelyulya,RU,59.72,overcast clouds,61.7333,30.6833,Raduga Guest House
229,Lima,PE,61.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
230,Arrifes,PT,70.05,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
231,Calama,CL,70.29,broken clouds,-22.4667,-68.9333,Diego De Almagro Calama
232,Fort Nelson,CA,60.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
233,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
234,Kurumkan,RU,57.85,light rain,54.3,110.3,Ilikchin
235,Zamosc,PL,64.24,light rain,50.7231,23.252,Hotel Renesans w Zamościu
236,Teguise,ES,70.02,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
238,Portland,US,75.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
239,Griffith,US,91.89,broken clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
240,Broome,US,88.18,few clouds,42.2506,-75.833,Chenango Valley State Park
241,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,San Francisco de La Selva
243,The Valley,AI,86.14,haze,18.217,-63.0578,CeBlue Villas & Beach Resort
244,Zhigansk,RU,60.4,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
245,San Policarpo,PH,78.1,overcast clouds,12.1791,125.5072,Manong Aklan Resort
247,Chapais,CA,71.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
249,Sedro-Woolley,US,67.6,overcast clouds,48.5039,-122.2361,Natural Resources Department
250,Qaqortoq,GL,46.2,clear sky,60.7167,-46.0333,Hotel Qaqortoq
251,Kutum,SD,70.93,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
252,Moose Factory,CA,75.2,clear sky,51.2585,-80.6094,Moosonee Lilypad
253,Antalaha,MG,68.52,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
254,Shenjiamen,CN,77.52,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
255,Sorland,NO,62.67,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
256,Mount Isa,AU,44.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
257,Praia Da Vitoria,PT,77.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
258,Faanui,PF,78.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
259,Tangjiazhuang,CN,70.81,overcast clouds,39.7333,118.45,Peace Hotel
260,Dharmapuri,IN,77.49,overcast clouds,12.1333,78.1667,Saravana Inn
261,Gasa,PS,82.9,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
262,Iquique,CL,62.64,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
263,College,US,61.0,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
265,Olafsvik,IS,57.09,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
266,French Harbor,HN,89.6,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
267,Laramie,US,83.79,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
